timestamp,model,quant,engine,dataset,config,num_requests,backend,dtype,quantization,kv_cache_dtype,max_input_length,max_sequence_length,tp_size,pp_size,isl_average,osl_average,seq_average,total_latency_ms,avg_request_latency_ms,request_throughput_req_s,system_output_throughput_tok_s,system_total_throughput_tok_s,token_output_speed_tok_s,avg_ttft_ms,avg_tpot_ms,latency_ms_average,latency_ms_p50,latency_ms_p90,latency_ms_p95,latency_ms_p99,ttft_ms_average,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99,tpot_ms_average,tpot_ms_p50,tpot_ms_p90,tpot_ms_p95,tpot_ms_p99,gen_tps_average,gen_tps_p50,gen_tps_p90,gen_tps_p95,gen_tps_p99,gpu_util_peak_pct,gpu_memory_util_peak_pct,gpu_memory_used_peak_mb,gpu_power_peak_w
20260420_222853,Qwen25_14B,W8A8_SQ_INT8KV,Qwen25_14B/W8A8_SQ_INT8KV,Qwen_Synthetic_long_in_short_out_2560_256_128_16.txt,base_config.json,10,TRT,bfloat16,W8A8_SQ_PER_CHANNEL_PER_TOKEN_PLUGIN,INT8,3072,6144,1,1,2564,256,2821,63096.550978,6309.6349149,0.15848726824207426,44.31304020048397,450.6902446999866,47.205419814338505,407.6959428,21.184026692890644,6309.6349149,6372.393276,6421.597999,6421.597999,6421.597999,407.6959428,396.58876499999997,446.560507,446.560507,446.560507,21.184026692890644,21.188076212765957,21.207065173758863,21.207065173758863,21.207065173758863,47.205419814338505,47.20495136591622,47.29861571107853,47.29861571107853,47.29861571107853,100.0,99.0,23455.0,388.81
20260420_223031,Qwen25_14B,W8A8_SQ_INT8KV,Qwen25_14B/W8A8_SQ_INT8KV,Qwen_Synthetic_short_in_long_out_256_2560_16_128.txt,base_config.json,10,TRT,bfloat16,W8A8_SQ_PER_CHANNEL_PER_TOKEN_PLUGIN,INT8,3072,6144,1,1,256,2564,2821,566114.533593,56611.4084705,0.017664270048910913,48.544946948416964,53.08289792398218,48.574605907133865,54.16326229999999,20.586902033494635,56611.4084705,57175.800621999995,57276.010595,57276.010595,57276.010595,54.16326229999999,47.254695,68.406153,68.406153,68.406153,20.586902033494635,20.586632906666665,20.615352952072072,20.615352952072072,20.615352952072072,48.574605907133865,48.58207416803813,48.651757018878065,48.651757018878065,48.651757018878065,100.0,100.0,23455.0,389.21
20260420_224122,Qwen25_14B,W8A8_SQ_INT8KV,Qwen25_14B/W8A8_SQ_INT8KV,Qwen_Synthetic_long_in_long_out_2560_2560_128_128.txt,base_config.json,10,TRT,bfloat16,W8A8_SQ_PER_CHANNEL_PER_TOKEN_PLUGIN,INT8,3072,6144,1,1,2564,2564,5128,601988.325835,60198.78866109999,0.016611617818550382,45.65204808894017,88.24589733748519,45.9496315790639,408.6513173,21.76313989370755,60198.78866109999,60780.763604,61121.055842999995,61121.055842999995,61121.055842999995,408.6513173,399.85043199999996,445.860973,445.860973,445.860973,21.76313989370755,21.760300318198194,21.864935088288288,21.864935088288288,21.864935088288288,45.9496315790639,45.98652937876314,46.14904141346421,46.14904141346421,46.14904141346421,100.0,99.0,23455.0,389.57
20260420_225249,Qwen25_14B,W4A16,Qwen25_14B/W4A16,Qwen_Synthetic_short_in_short_out_256_256_16_16.txt,base_config.json,10,TRT,bfloat16,W4A16,,3072,6144,1,1,256,256,513,33945.51837,3394.5315831,0.2945896978505914,82.36727951902536,158.0473728968423,84.83032487232248,110.2450807,11.788263894040265,3394.5315831,3432.6399149999997,3451.3950339999997,3451.3950339999997,3451.3950339999997,110.2450807,104.91923399999999,120.12547199999999,120.12547199999999,120.12547199999999,11.788263894040265,11.793360617021275,11.814461418439716,11.814461418439716,11.814461418439716,84.83032487232248,84.84045953907113,85.04481563976573,85.04481563976573,85.04481563976573,100.0,98.0,22837.0,389.72
20260420_225351,Qwen25_14B,W4A16,Qwen25_14B/W4A16,Qwen_Synthetic_long_in_short_out_2560_256_128_16.txt,base_config.json,10,TRT,bfloat16,W4A16,,3072,6144,1,1,2564,256,2821,45423.005388,4542.2797358,0.22015275991935648,61.55471167345207,626.0484033826741,79.35587556831248,1031.1327597999998,12.602139219526425,4542.2797358,4582.892662,4699.876902,4699.876902,4699.876902,1031.1327597999998,1025.145102,1121.19424,1121.19424,1121.19424,12.602139219526425,12.61612609929078,12.695496599290781,12.695496599290781,12.695496599290781,79.35587556831248,79.35026347478366,80.79063431397388,80.79063431397388,80.79063431397388,100.0,97.0,22837.0,389.83
20260420_225505,Qwen25_14B,W4A16,Qwen25_14B/W4A16,Qwen_Synthetic_short_in_long_out_256_2560_16_128.txt,base_config.json,10,TRT,bfloat16,W4A16,,3072,6144,1,1,256,2564,2821,335183.852588,33518.347218999996,0.029834372756290743,81.99082320883822,89.6552735699293,82.23587726987631,110.4925133,12.160175079319153,33518.347218999996,33886.515771,33919.560321,33919.560321,33919.560321,110.4925133,105.49454899999999,120.56829599999999,120.56829599999999,120.56829599999999,12.160175079319153,12.171136461981982,12.179816945945946,12.179816945945946,12.179816945945946,82.23587726987631,82.23927885821529,82.5829721179985,82.5829721179985,82.5829721179985,100.0,98.0,22837.0,390.1
20260420_230135,Qwen25_14B,W4A16,Qwen25_14B/W4A16,Qwen_Synthetic_long_in_long_out_2560_2560_128_128.txt,base_config.json,10,TRT,bfloat16,W4A16,,3072,6144,1,1,2564,2564,5128,367347.63589599996,36734.7238686,0.027222170562249393,74.81196913917378,144.61233667783745,76.94960967039147,1031.0905026,12.99571641866886,36734.7238686,37075.560136,37400.057552,37400.057552,37400.057552,1031.0905026,1021.389291,1122.327447,1122.327447,1122.327447,12.99571641866886,12.992493998198198,13.073055893693692,13.073055893693692,13.073055893693692,76.94960967039147,76.99746425974033,77.47455908924806,77.47455908924806,77.47455908924806,100.0,97.0,22837.0,389.77
20260420_230844,Qwen25_14B,W4A16_INT8KV,Qwen25_14B/W4A16_INT8KV,Qwen_Synthetic_short_in_short_out_256_256_16_16.txt,base_config.json,10,TRT,bfloat16,W4A16,INT8,3072,6144,1,1,256,256,513,33808.183547,3380.7987216999995,0.29578637332283886,82.70186998106574,158.68938928770302,85.18711952770263,110.5322016,11.73894322747655,3380.7987216999995,3413.294677,3444.7060539999998,3444.7060539999998,3444.7060539999998,110.5322016,105.21399799999999,120.96986299999999,120.96986299999999,120.96986299999999,11.73894322747655,11.73535589716312,11.798667661290322,11.798667661290322,11.798667661290322,85.18711952770263,85.2804177268565,85.43319489658654,85.43319489658654,85.43319489658654,100.0,97.0,22835.0,389.83
20260420_230946,Qwen25_14B,W4A16_INT8KV,Qwen25_14B/W4A16_INT8KV,Qwen_Synthetic_long_in_short_out_2560_256_128_16.txt,base_config.json,10,TRT,bfloat16,W4A16,INT8,3072,6144,1,1,2564,256,2821,47195.988937999995,4719.5792468,0.21188241257401574,59.242322555694805,602.5300166367286,75.59181733601824,1033.8937329,13.229028494941089,4719.5792468,4765.458799999999,4851.3711619999995,4851.3711619999995,4851.3711619999995,1033.8937329,1025.716041,1122.2748649999999,1122.2748649999999,1122.2748649999999,13.229028494941089,13.223745734042552,13.284998326241135,13.284998326241135,13.284998326241135,75.59181733601824,75.62263256963054,75.94119249885291,75.94119249885291,75.94119249885291,100.0,89.0,22835.0,389.5
20260420_231102,Qwen25_14B,W4A16_INT8KV,Qwen25_14B/W4A16_INT8KV,Qwen_Synthetic_short_in_long_out_256_2560_16_128.txt,base_config.json,10,TRT,bfloat16,W4A16,INT8,3072,6144,1,1,256,2564,2821,347794.98326999997,34779.459186199994,0.02875257114400873,79.01781601796478,86.40435154486063,79.24435382766599,110.4872357,12.61923089911724,34779.459186199994,35132.518653,35228.488237,35228.488237,35228.488237,110.4872357,104.85100399999999,120.970366,120.970366,120.970366,12.61923089911724,12.619888745585584,12.65206802054054,12.65206802054054,12.65206802054054,79.24435382766599,79.2552090485933,79.56638164045754,79.56638164045754,79.56638164045754,100.0,97.0,22835.0,390.14
